ax,ay,az,gx,gy,gz,mx,my,mz,label
0.99,0.10,0.02,4.70,-2.01,2.62,45.31,1.10,-12.32,5
0.98,0.10,0.00,3.78,-2.69,1.65,45.00,0.95,-12.49,5
0.98,0.10,0.01,3.97,-2.50,1.71,44.58,1.32,-12.40,5
0.98,0.10,0.01,5.25,-2.81,0.67,44.58,0.34,-11.62,5
0.98,0.10,0.01,1.04,-2.56,0.37,44.70,0.92,-12.99,5
0.99,0.09,0.02,2.99,-3.42,1.77,44.96,0.46,-13.21,5
0.98,0.10,0.00,0.73,-2.62,1.71,44.62,1.44,-12.01,5
0.99,0.09,0.01,1.89,-2.56,0.73,45.02,1.18,-12.82,5
0.99,0.10,0.01,2.01,-2.14,0.92,45.13,0.77,-14.22,5
0.99,0.09,0.01,3.30,-2.99,1.16,44.58,0.31,-12.85,5
0.98,0.10,0.01,1.40,-2.93,0.67,44.78,1.03,-13.12,5
0.99,0.09,0.01,5.68,-3.48,0.67,44.71,0.66,-12.17,5
0.99,0.09,0.01,0.12,-2.62,1.71,45.19,0.77,-12.23,5
0.99,0.10,0.01,-0.24,-2.32,2.38,44.64,0.74,-13.10,5
0.99,0.10,0.00,1.77,-2.32,0.73,45.26,0.88,-12.71,5
0.98,0.09,0.00,1.89,-2.56,2.62,44.79,0.82,-13.42,5
0.98,0.11,-0.00,-0.55,-2.01,1.83,44.73,1.35,-12.61,5
0.98,0.07,0.01,-2.62,-2.99,0.61,44.63,1.38,-13.06,5
0.98,0.09,0.00,2.93,-2.01,1.77,44.40,1.04,-12.27,5
0.98,0.11,-0.01,-0.12,-2.01,1.65,44.86,0.95,-13.49,5
0.99,0.08,0.01,3.54,-2.81,1.34,44.51,0.95,-12.88,5
0.98,0.09,0.00,4.33,-3.42,1.71,44.63,1.23,-13.85,5
0.98,0.09,0.00,1.95,-2.81,1.10,44.63,0.51,-14.78,5
0.99,0.09,0.01,5.68,-2.26,0.79,45.13,0.79,-13.66,5
0.99,0.10,-0.00,2.14,-2.93,2.32,44.67,0.90,-13.60,5
0.99,0.09,0.01,4.21,-3.05,0.73,45.14,0.83,-13.24,5
0.99,0.09,0.00,3.36,-2.75,0.92,44.89,1.10,-13.64,5
0.98,0.09,0.00,1.77,-1.95,2.14,44.57,0.72,-12.56,5
0.99,0.09,0.01,5.74,-3.60,1.04,45.24,0.77,-12.93,5
0.98,0.08,0.00,4.15,-1.95,2.26,44.52,0.85,-12.87,5
0.99,0.11,-0.00,5.74,-3.42,0.85,44.49,0.79,-13.21,5
0.99,0.08,0.01,3.97,-3.48,0.12,44.59,0.71,-13.68,5
0.98,0.08,0.00,5.43,-2.69,2.32,44.98,1.11,-13.13,5
0.99,0.10,-0.00,3.48,-2.20,1.22,44.35,0.72,-14.45,5
0.99,0.08,0.00,2.81,-2.26,1.83,44.97,0.01,-13.40,5
0.98,0.10,-0.00,4.03,-3.30,2.38,45.25,0.61,-12.94,5
0.98,0.08,0.01,7.02,-2.69,0.06,44.80,0.61,-14.32,5
0.99,0.09,-0.00,3.85,-2.69,1.83,44.76,0.92,-12.46,5
0.99,0.11,-0.00,4.76,-2.99,1.34,44.92,0.46,-13.53,5
0.99,0.09,0.00,4.58,-3.42,0.37,44.86,0.68,-12.76,5
0.99,0.09,0.00,1.59,-2.01,1.95,44.68,0.21,-12.83,5
0.98,0.09,-0.01,3.23,-3.05,0.55,44.81,1.14,-13.24,5
0.98,0.08,0.01,3.66,-3.30,0.24,44.84,0.72,-13.05,5
0.99,0.09,-0.00,3.78,-0.92,2.56,45.13,0.57,-12.95,5
0.98,0.10,-0.01,2.99,-3.72,1.28,44.85,0.67,-13.22,5
0.99,0.08,0.01,7.20,-3.42,0.43,44.97,0.90,-13.38,5
0.98,0.11,0.02,-1.77,-1.16,8.12,44.89,0.68,-13.79,5
0.99,0.11,-0.00,4.70,-2.75,1.16,44.52,0.60,-13.35,5
0.99,0.07,0.01,6.04,-2.87,1.04,45.03,0.94,-13.75,5
0.98,0.10,-0.01,3.91,-1.89,2.44,45.03,1.38,-13.77,5
0.99,0.09,0.00,5.62,-3.36,-0.24,44.87,0.99,-12.95,5
0.99,0.08,0.00,2.87,-2.44,2.14,45.04,0.81,-13.43,5
0.98,0.09,-0.01,3.91,-2.32,0.92,45.28,1.29,-13.24,5
