ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.09,0.98,0.03,-2.32,-0.55,2.14,19.86,-33.91,-26.78,3
0.08,1,-0.14,1.95,14.28,5.25,25.09,-35.69,-23.88,3
-0.23,-0.23,-0.97,4.88,-1.77,1.71,17.85,-15.81,14.23,2
-0.02,0.03,-0.99,-6.65,-11.23,7.2,22.01,-22.28,11.65,2
0.06,0.01,1,6.35,-2.87,0.92,22.95,2.32,-39.58,1
0.95,0.17,-0.15,35.89,-57.56,28.63,43.19,-8.5,-0.13,5
-0.99,-0.08,-0.17,5.13,-3.66,3.97,-7.04,7.57,-10.85,4
-1,-0.09,-0.12,7.75,-11.78,0.24,-9.85,-9.57,-24.4,4
-0.02,-0.33,0.95,-0.49,-2.99,1.28,21.68,9.95,-35.12,1
0.07,0.98,-0.12,12.51,5.43,6.04,27.42,-36.29,-23.6,3
0.11,-0.08,-1.01,1.71,-7.57,-2.44,26.06,-20.86,12.17,2
0.18,-0.98,0.13,34.3,-9.22,-12.63,28.74,16.96,-6.34,3
-0.26,-0.95,0.22,10.86,-0.92,11.78,13.79,18.73,-8.45,3
-0.98,-0.12,0.15,-18.55,-6.53,3.3,-8.2,-17.07,-21.48,4
0.98,0.03,-0.08,-2.14,-6.53,-2.56,44.47,-21.94,-12.73,5
0.3,-0.89,0.39,7.2,-6.96,9.22,30.4,16.91,-13.2,3
0.21,-0.61,-0.78,2.99,-3.11,2.14,28.3,-4,11.93,2
-0.98,-0.12,0.04,-11.72,-0.79,3.72,-11.21,-13.06,-8.22,4
0,-0.25,-1,-67.87,-3.66,2.75,22.34,-15.08,13.06,2
0.24,-0.11,-0.97,3.66,-3.85,1.46,28.58,-18.27,10.45,2
-0.36,0.15,-0.91,-2.62,1.77,18.19,12.29,-28.58,6.8,2
-1.09,-0.12,0,56.52,-3.6,-5.31,-8.67,-18.03,-18.85,4
-0.23,-0.23,-0.97,4.52,-3.23,1.1,17.59,-15.16,13.88,2
-0.02,0.07,1.02,-14.89,32.23,-8.61,21.44,1.31,-40.75,1
0.01,-1.03,0.02,8.54,1.1,-2.5,21.2,17.85,-2.34,3
-1.06,-0.11,-0.02,119.2,-45.23,20.32,-9.51,-13.39,-21.07,4
0.17,-0.17,-0.99,-23.74,2.62,-7.57,23.85,-16.24,12.54,2
0.98,-0.06,-0.01,-12.08,-5.19,2.56,44.59,-21.47,-11.33,5
0.33,0,0.94,8.12,-9.77,1.77,28.98,3.05,-37.93,1
-0.02,-0.21,1,-53.04,26.31,14.77,20.8,7.69,-36.33,1
0.04,-1.01,-0.22,-40.53,-5.25,11.72,23.22,13.98,2.36,3
-0.05,-0.96,0.29,-0.55,-0.24,18.07,19.85,19.32,-11.04,3
1,0.03,0.09,10.19,-1.28,0.37,44.8,-2.78,-6.79,5
0.05,-0.81,0.58,-20.08,-3.17,1.16,23.45,18.04,-19.02,3
0.01,0.08,0.98,-1.28,-3.36,-1.77,20.51,2.7,-40.52,1
0.97,-0.21,-0.07,3.66,-2.87,1.77,44.4,-9.47,-0.94,5
0.07,-0.14,0.97,4.82,-17.82,4.15,23.17,6.38,-37.39,1
-1,0.01,0.11,2.87,-0.61,2.99,-8.01,-5.68,-5.33,4
0.09,-0.15,0.98,3.17,-8.3,0.24,23.44,6.27,-37.28,1
0.85,-0.49,0.19,12.33,3.85,-5,46.19,-1.72,-8.76,5
0.06,-0.81,0.59,16.48,-3.97,0.61,22.83,18.21,-20.17,3
0.86,0.5,-0.05,4.03,-3.85,2.87,40.93,-21.08,-0.78,5
0.96,-0.16,0.16,42.18,56.46,-10.19,45.12,-8.33,-7.79,5
0.99,-0.1,0,13.98,-0.18,-7.57,43.25,4.17,-12.24,5
0.25,0.28,-0.93,3.48,-1.65,2.44,29.91,-29.83,4.64,2
0.99,-0.01,0.01,3.17,-3.6,1.1,45.52,-12.66,-2.62,5
0.06,0.01,0.99,5.43,-3.78,2.26,22.91,2.89,-39.26,1
-0.97,-0.04,-0.07,4.15,-2.87,1.53,-9.13,-9.57,-25.45,4
-0.05,0.03,-1.01,4.33,-2.62,1.34,21.86,-22.19,12,2
-0.05,0.12,-1.02,24.84,24.78,-3.66,21.97,-23.89,9.9,2
0.81,-0.21,0.53,5.55,-5.07,18.19,47.01,-5.43,-17.5,5
-0.99,0.02,0.05,21.67,4.21,3.36,-8.53,4.17,-18.14,4
-0.03,-0.8,-0.63,1.1,-3.97,2.01,20.29,5.2,10.33,3
-0.07,-0.01,0.99,3.42,-4.7,1.65,20.04,3.23,-40.52,1
0.92,-0.44,-0.12,-6.16,-3.54,61.89,42.3,-3.37,0.9,5
-0.1,0.95,-0.26,-8.85,10.68,-9.77,22.25,-36.07,-19.75,3
0.02,0.3,-0.95,6.9,-1.4,3.72,23.16,-28.67,5.25,2
-0.13,0.97,-0.1,-5.37,5.07,3.6,18.63,-35.05,-24.28,3
-0.03,0.19,0.96,38.33,24.35,-8.06,21.55,-2.12,-41.83,1
-0.85,-0.39,-0.34,5.49,0.24,-1.83,-2.39,12.38,-13.22,4
0.98,-0.06,0.03,5.98,-2.75,2.44,43.91,3.69,-11.67,5
-0.01,-0.01,0.99,4.03,-3.11,1.4,21.03,4.19,-40.12,1
